id,kodeunit,namaunit,bulan,jumlah,tahun,created_at
54.0,10500.0,Fakultas Farmasi,1900-06-01,1313399748.0,2019-01-01,2023-09-18 10:27:19.340679
55.0,10500.0,Fakultas Farmasi,1900-07-01,1116885566.0,2019-01-01,2023-09-18 10:27:19.38216
56.0,10500.0,Fakultas Farmasi,1900-08-01,1065051186.0,2019-01-01,2023-09-18 10:27:19.516354
57.0,10500.0,Fakultas Farmasi,1900-09-01,1239876598.0,2019-01-01,2023-09-18 10:27:19.573656
58.0,10500.0,Fakultas Farmasi,1900-10-01,1226902011.0,2019-01-01,2023-09-18 10:27:19.632188
59.0,10500.0,Fakultas Farmasi,1900-11-01,947369221.0,2019-01-01,2023-09-18 10:27:19.69898
60.0,10500.0,Fakultas Farmasi,1900-12-01,2181616340.0,2019-01-01,2023-09-18 10:27:19.765561
61.0,10600.0,Fakultas Kedokteran Hewan,1900-01-01,144460246.0,2019-01-01,2023-09-18 10:27:19.832296
62.0,10600.0,Fakultas Kedokteran Hewan,1900-02-01,523076593.0,2019-01-01,2023-09-18 10:27:19.898228
63.0,10600.0,Fakultas Kedokteran Hewan,1900-03-01,915201922.0,2019-01-01,2023-09-18 10:27:19.948786
64.0,10600.0,Fakultas Kedokteran Hewan,1900-04-01,750630734.0,2019-01-01,2023-09-18 10:27:20.042028
65.0,10600.0,Fakultas Kedokteran Hewan,1900-05-01,1798292720.0,2019-01-01,2023-09-18 10:27:20.108378
66.0,10600.0,Fakultas Kedokteran Hewan,1900-06-01,593216697.0,2019-01-01,2023-09-18 10:27:20.17489
67.0,10600.0,Fakultas Kedokteran Hewan,1900-07-01,524427800.0,2019-01-01,2023-09-18 10:27:20.350996
68.0,10600.0,Fakultas Kedokteran Hewan,1900-08-01,1139020105.0,2019-01-01,2023-09-18 10:27:20.416615
69.0,10600.0,Fakultas Kedokteran Hewan,1900-09-01,1341738088.0,2019-01-01,2023-09-18 10:27:20.466699
70.0,10600.0,Fakultas Kedokteran Hewan,1900-10-01,778253497.0,2019-01-01,2023-09-18 10:27:20.519704
71.0,10600.0,Fakultas Kedokteran Hewan,1900-11-01,1614463639.0,2019-01-01,2023-09-18 10:27:20.709486
72.0,10600.0,Fakultas Kedokteran Hewan,1900-12-01,3818125537.0,2019-01-01,2023-09-18 10:27:20.819468
73.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-01-01,228605338.0,2019-01-01,2023-09-18 10:27:20.91324
74.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-02-01,807184902.0,2019-01-01,2023-09-18 10:27:20.95879
75.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-03-01,1063433102.0,2019-01-01,2023-09-18 10:27:21.025653
76.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-04-01,1150506315.0,2019-01-01,2023-09-18 10:27:21.0686
77.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-05-01,2372248334.0,2019-01-01,2023-09-18 10:27:21.125452
78.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-06-01,1014585280.0,2019-01-01,2023-09-18 10:27:21.192348
79.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-07-01,1876161836.0,2019-01-01,2023-09-18 10:27:21.252064
80.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-08-01,1799551598.0,2019-01-01,2023-09-18 10:27:21.30924
81.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-09-01,1356058489.0,2019-01-01,2023-09-18 10:27:21.376179
82.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-10-01,1927606188.0,2019-01-01,2023-09-18 10:27:21.442807
591.0,11500.0,Fakultas Vokasi,1900-06-01,1520900089.0,2021-01-01,2023-09-18 10:28:10.8353
83.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-11-01,1969661131.0,2019-01-01,2023-09-18 10:27:21.569072
84.0,10700.0,Fakultas Ilmu Sosial dan Ilmu Politik,1900-12-01,5459263420.0,2019-01-01,2023-09-18 10:27:21.634752
85.0,10800.0,Fakultas Sains dan Teknologi,1900-01-01,260215226.0,2019-01-01,2023-09-18 10:27:21.711754
86.0,10800.0,Fakultas Sains dan Teknologi,1900-02-01,237403785.0,2019-01-01,2023-09-18 10:27:21.768431
87.0,10800.0,Fakultas Sains dan Teknologi,1900-03-01,781840698.0,2019-01-01,2023-09-18 10:27:21.836171
88.0,10800.0,Fakultas Sains dan Teknologi,1900-04-01,1358827970.0,2019-01-01,2023-09-18 10:27:21.945946
89.0,10800.0,Fakultas Sains dan Teknologi,1900-05-01,2093905495.0,2019-01-01,2023-09-18 10:27:21.995509
90.0,10800.0,Fakultas Sains dan Teknologi,1900-06-01,1887369457.0,2019-01-01,2023-09-18 10:27:22.062936
91.0,10800.0,Fakultas Sains dan Teknologi,1900-07-01,1341085944.0,2019-01-01,2023-09-18 10:27:22.11887
92.0,10800.0,Fakultas Sains dan Teknologi,1900-08-01,1381990059.0,2019-01-01,2023-09-18 10:27:22.193692
93.0,10800.0,Fakultas Sains dan Teknologi,1900-09-01,1894879569.0,2019-01-01,2023-09-18 10:27:22.251877
94.0,10800.0,Fakultas Sains dan Teknologi,1900-10-01,890870941.0,2019-01-01,2023-09-18 10:27:22.335505
95.0,10800.0,Fakultas Sains dan Teknologi,1900-11-01,2287045311.0,2019-01-01,2023-09-18 10:27:22.435626
96.0,10800.0,Fakultas Sains dan Teknologi,1900-12-01,4491292603.0,2019-01-01,2023-09-18 10:27:22.636189
97.0,10900.0,Fakultas Kesehatan Masyarakat,1900-01-01,140716461.0,2019-01-01,2023-09-18 10:27:22.702254
98.0,10900.0,Fakultas Kesehatan Masyarakat,1900-02-01,677717244.0,2019-01-01,2023-09-18 10:27:22.769135
99.0,10900.0,Fakultas Kesehatan Masyarakat,1900-03-01,845102352.0,2019-01-01,2023-09-18 10:27:22.839678
100.0,10900.0,Fakultas Kesehatan Masyarakat,1900-04-01,499537753.0,2019-01-01,2023-09-18 10:27:22.894079
101.0,10900.0,Fakultas Kesehatan Masyarakat,1900-05-01,1473982080.0,2019-01-01,2023-09-18 10:27:22.990191
102.0,10900.0,Fakultas Kesehatan Masyarakat,1900-06-01,873889870.0,2019-01-01,2023-09-18 10:27:23.05274
103.0,10900.0,Fakultas Kesehatan Masyarakat,1900-07-01,2010405719.0,2019-01-01,2023-09-18 10:27:23.102477
104.0,10900.0,Fakultas Kesehatan Masyarakat,1900-08-01,1481686187.0,2019-01-01,2023-09-18 10:27:23.169471
